;question;answer;question_index;answer_reformulate;answer_index;document_index;question_reformulate
0;What is the email address for making bookings at the hotel? ;"Bookings can be made by writing a request to the hotel's e-mail office@lhj.lv or by
filling out the necessary information on the hotel's website www.lighthousejurmala.lv
to send the reservation request, or by other reservation websites (online reservation
systems).";0;"['www.lighthousejurmala.lv', '.\n2. To book, simply send us an e-mail at office@lhj.lv, or complete the online reservation process on ', 'www.lighthousejurmala.lv', "".\n3. You can make a booking request via email to office@lhj.lv, or fill out our website's "", 'www.lighthousejurmala.lv', ' reservation form.\n4. To reserve a room, please submit an email to office@lhj.lv or complete the online registration on ', 'www.lighthousejurmala.lv', "".\n5. Bookings can be made through our e-mail address office@lhj.lv, or by using our website's "", 'www.lighthousejurmala.lv', ' reservation system.\n6. Simply send us an email to office@lhj.lv, or fill out the online form on ', 'www.lighthousejurmala.lv', "" to make a booking.\n7. To make a reservation, please e-mail office@lhj.lv, or use our website's "", 'www.lighthousejurmala.lv', ' online booking feature.\n8. Bookings can be made by sending an email to office@lhj.lv, or filling out the necessary information on our website at ', 'www.lighthousejurmala.lv', '.\n9. To reserve a room, you can send us an e-mail at office@lhj.lv, or use other online reservation systems such as ', 'www.lighthousejurmala.lv', '.\n10. Make a booking request by emailing office@lhj.lv, or filling out the form on our website ', 'www.lighthousejurmala.lv$, including the required information to complete the reservation process.']";0;12;"['\nTo which digital mailbox do guests send inquires about scheduling accommodations? ', '\nHow can one obtain access to an online form for reserving a room at the hotel? ', '\nWhat is the electronic address used by the hotel staff to receive requests for booking rooms? ', '\nCan you provide me with the URL for sending messages regarding making reservations? ', '\nHow does someone go about filling out an internet-based form for securing a spot at the hotel? ', '\nTo whom should one direct their queries concerning reserving a space for lodging? ', '\nWhat is the email address used by the staff to handle bookings for rooms at the hotel? ', '\nCan you give me the information necessary to fill out an electronic request for a reservation? ', ""\nHow can guests get in touch with the hotel's personnel about scheduling accommodations?""]"
1;" 
What are the alternative options for making bookings at the hotel? ";"Bookings can be made by writing a request to the hotel's e-mail office@lhj.lv or by
filling out the necessary information on the hotel's website www.lighthousejurmala.lv
to send the reservation request, or by other reservation websites (online reservation
systems).";1;"['www.lighthousejurmala.lv', '.\n2. To book, simply send us an e-mail at office@lhj.lv, or complete the online reservation process on ', 'www.lighthousejurmala.lv', "".\n3. You can make a booking request via email to office@lhj.lv, or fill out our website's "", 'www.lighthousejurmala.lv', ' reservation form.\n4. To reserve a room, please submit an email to office@lhj.lv or complete the online registration on ', 'www.lighthousejurmala.lv', "".\n5. Bookings can be made through our e-mail address office@lhj.lv, or by using our website's "", 'www.lighthousejurmala.lv', ' reservation system.\n6. Simply send us an email to office@lhj.lv, or fill out the online form on ', 'www.lighthousejurmala.lv', "" to make a booking.\n7. To make a reservation, please e-mail office@lhj.lv, or use our website's "", 'www.lighthousejurmala.lv', ' online booking feature.\n8. Bookings can be made by sending an email to office@lhj.lv, or filling out the necessary information on our website at ', 'www.lighthousejurmala.lv', '.\n9. To reserve a room, you can send us an e-mail at office@lhj.lv, or use other online reservation systems such as ', 'www.lighthousejurmala.lv', '.\n10. Make a booking request by emailing office@lhj.lv, or filling out the form on our website ', 'www.lighthousejurmala.lv$, including the required information to complete the reservation process.']";0;12;['\nHow do I access additional booking channels at the hotel ', '\nAre there different ways to schedule a stay at the hotel ', '\nCan you list other means of making an accommodation reservation ', '\nWhat are the secondary options for arranging a room at the hotel ', '\nHow can I procure a lodging at the hotel through alternative routes ', '\nAre there supplementary methods for booking accommodations ', '\nWhat are some possible alternatives to making a traditional reservation ', '\nCan I use various channels to arrange for a hotel stay ', '\nWhat other avenues exist for securing a hotel room booking ', '']
2;" 
Can bookings be made directly through the hotel's website?";"Bookings can be made by writing a request to the hotel's e-mail office@lhj.lv or by
filling out the necessary information on the hotel's website www.lighthousejurmala.lv
to send the reservation request, or by other reservation websites (online reservation
systems).";2;"['www.lighthousejurmala.lv', '.\n2. To book, simply send us an e-mail at office@lhj.lv, or complete the online reservation process on ', 'www.lighthousejurmala.lv', "".\n3. You can make a booking request via email to office@lhj.lv, or fill out our website's "", 'www.lighthousejurmala.lv', ' reservation form.\n4. To reserve a room, please submit an email to office@lhj.lv or complete the online registration on ', 'www.lighthousejurmala.lv', "".\n5. Bookings can be made through our e-mail address office@lhj.lv, or by using our website's "", 'www.lighthousejurmala.lv', ' reservation system.\n6. Simply send us an email to office@lhj.lv, or fill out the online form on ', 'www.lighthousejurmala.lv', "" to make a booking.\n7. To make a reservation, please e-mail office@lhj.lv, or use our website's "", 'www.lighthousejurmala.lv', ' online booking feature.\n8. Bookings can be made by sending an email to office@lhj.lv, or filling out the necessary information on our website at ', 'www.lighthousejurmala.lv', '.\n9. To reserve a room, you can send us an e-mail at office@lhj.lv, or use other online reservation systems such as ', 'www.lighthousejurmala.lv', '.\n10. Make a booking request by emailing office@lhj.lv, or filling out the form on our website ', 'www.lighthousejurmala.lv$, including the required information to complete the reservation process.']";0;12;"[' Do room bookings require a third-party site visit ', ' Can accommodation be pre-booked via the official hotel portal ', "" Is it possible to secure lodging by going through the hotel's own internet interface "", "" Are bookings facilitated on-site at the hotel's digital platform "", "" May one reserve accommodations directly from the hotel's webpage "", ' Is there an online reservation option for hotel rooms ', "" Do people have the ability to make reservations directly through the hotel's online service "", "" Can a direct booking be made using only the hotel's official website "", "" Can room reservations be completed exclusively through the hotel's own digital presence "", '']"
3;What information is required from the guest to book a room in the hotel?;"
To book a room in the hotel, the guest must electronically notify hotel administration
the exact room name, accommodation period, guest's name, phone number, e-mail
address and guest's credit card number and its expiration date, thus guaranteeing the
payment for booked hotel services in case of late cancellation or no show.";3;[' To reserve a hotel room, guests must digitally inform the administration \n', ' Guests must electronically notify the hotel management team \n', ' The process to book a hotel room involves an electronic submission \n', ' Booking a hotel room requires a digital alert to the management \n', ' Hotel guests must send electronic information for a room reservation \n', ' Patrons can book a room by sending digital data to the hotel staff \n', ' To make a reservation, guests need to electronically inform the administration \n', ' Guests must digitally provide details to secure a hotel room booking \n', ' Reserving a room involves an online notification to the hotel team'];1;12;"[' To what extent does our accommodation require personal data from prospective guests ', ' What specific information must visitors provide prior to booking a room with us ', ' In order to confirm a reservation, what precise particulars are required from clients ', ' What particularities should individuals submit in order to make an appointment at the hotel ', ' How much information is needed to arrange lodging in our facilities ', ' To whom or what should customers provide their details when they book a stay with us ', ' For booking purposes, how much data do we need from guests ', "" The specifics of our hotel's reservation process require which pieces of personal information "", ' What sort of private information must clients offer so that a room may be reserved for them ', '']"
4;What types of credit cards are accepted by the hotel?;"
The hotel accepts American Express, Visa, MasterCard, Maestro credit cards for the
payment";4;[' Hotel takes American Express, Visa, Mastercard ', ' We accept Maestro, Mastercard, Visa, Amex credit cards ', ' Credit cards accepted: Mastercard, Visa, Maestro, Amex ', ' Major credit cards accepted: Mastercard, Visa, Maestro ', ' All major credit cards are accepted, including Mastercard, Visa ', ' Hotel accepts various types of US bankcards ', ' Payment by Maestro, Visa, Mastercard is accepted ', ' We accept all international credit cards, including Mastercard, Visa ', ' The hotel takes all types of Mastercard, Visa, Maestro ', ''];2;12;[' Are there specific card brands that the hotel accepts ', ' What sorts of debit/credit cards can you use at the hotel ', ' Which major credit card companies does the hotel partner with ', ' Can guests pay with Visa and Mastercard at the hotel ', ' Is American Express accepted by the hotel as a form of payment ', ' Do travel rewards credit cards work at this hotel ', ' Are Discover, Diners Club, or JCB cards welcome at the hotel ', ' What types of charge cards are accepted for room payments ', ' Which credit card companies has the hotel got an agreement with ', '']
5;When is the payment charged from the guest's credit card?;"It is possible to book a room for the High Season (01/07-15/08 ) only by making a
prepayment or by allowing the hotel to charge the guest's credit card in the amount
which is equal to the cost of all the reserved accommodation period. Payment is
charged from the guest's credit card on the day the booking is made.";5;"[' For reservations during Peak Period (01/07-15/08), a \nprepayment is necessary or we can charge your credit card the full amount of your stay \n', ' In order to book a room for High Season (01/07-15/08), you must either prepay or allow \nus to charge your credit card ', "" A room booking during Peak Period (01/07-15/08) will only be \naccepted with an advance payment or by charging the guest's credit card "", ' During High \nSeason (01/07-15/08), a deposit is required for all bookings, which can also be charged to \nyour credit card ', ' For bookings in Peak Period (01/07-15/08), we require either a prepayment \nor permission to charge your credit card ', ' In order to make a booking during High Season \n(01/07-15/08), you must pay in advance or allow the hotel to debit your credit card ', ' A room \nbooking for Peak Period (01/07-15/08) will only be accepted with an advance payment, which \ncan also be charged to your credit card ', "" During Peak Period (01/07-15/08), a prepayment is \nmandatory for all bookings or the hotel can charge the guest's credit card "", '']";3;12;"["" At what point do you deduct funds from my guest's card?\n\n"", "" From when are charges made to the guest's card account?\n\n"", ' When will I be billed for room services?\n\n', ' Can you tell me when payments are processed?\n\n', "" How soon after check-in can a charge be made to the guest's credit card?\n\n"", ' At which point does the hotel start charging my card?\n\n', "" From what date are all charges reflected on the guest's statement?\n\n"", "" When do fees get applied to the guest's credit card?\n\n"", "" Can you inform me about when funds will be taken from the guest's card?""]"
6;What are the two methods of guaranteeing a hotel reservation?;"The reservation can be guaranteed only by providing the hotel with the guest's credit
card number and expiration date or by making a prepayment (not later than 24 hours
prior to arrival).";6;"[' Hotel accepts payment via card information ', ' Cardholder must provide account number and validity period for accommodation confirmation ', ' Prepayment is required prior to check-in, with maximum deadline being 24 hours in advance ', ' To secure the reservation, hotel necessitates provision of credit card data ', "" Booking guarantee can be ensured through provision of guest's bank card details "", ' Hotel requires prepayment or disclosure of card information to confirm booking ', "" To validate accommodation request, hotel must receive cardholder's account number and expiration date "", ' Secure booking is dependent on provision of card details, with prepayment possible within 24 hours prior to arrival ', ' Card information must be provided to the hotel for booking confirmation to be issued']";4;12;[' Ensuring hotel reservations through secure confirmation procedures ', ' Guaranteeing room bookings via reliable hotel reservation methods ', ' Confirming hotel stays using trusted reservation protocols ', ' Securing hotel accommodations through foolproof booking systems ', ' Methods for making certain of hotel reservations and availability ', ' Reliable ways to verify hotel room assignments and reservations ', ' Procedures for securing confirmed hotel reservations and accommodations ', ' Strategies for ensuring hotel bookings are guaranteed and secure ', ' Approaches to guaranteeing the validity of hotel reservations and confirmations']
7;What happens if a guest arrives at the hotel expecting to stay in a room they had reserved, but the hotel has sold it to another person?;"
In case of unguaranteed reservation, the hotel keeps the right to sell the room to
another person.";7;['\nHotels reserve the right to occupy a reserved room with an alternate guest ', '\nIf booking is not guaranteed, hotel may reassign room to another customer ', '\nWhen reservation is non-confirmed, the hotel can allocate the room to someone else ', '\nReservations that are not confirmed allow hotels to offer rooms to other guests ', '\nIn case of non-confirmed bookings, the hotel retains right to sell the room to another person ', '\nNon-guaranteed reservations permit hotels to reassign a room to an alternate guest ', '\nWhen a reservation is unconfirmed, the hotel may assign the room to someone else ', '\nThe hotel can offer a reserved room to another customer in case of non-refundable booking ', '\nIn the event of unconfirmed reservations, the hotel has right to sell room to another person ', ''];5;12;"["" A customer arrives at a hospitality establishment believing they will be staying in a previously reserved space, but it's now allocated to another individual "", ' An individual shows up at a hotel expecting to stay in a specific room they had arranged, yet the establishment has rented it out to another person ', "" Can an overnight guest arrive at a lodging anticipating a booking for a particular room only to find that it's been allotted to someone else? "", ' When someone checks into a hotel expecting to occupy a reserved space, but the management had let it to another party ', ' If a patron arrives at a hospitality establishment prepared to spend the night in a space they had arranged ahead of time, but discovers it has been allocated to another person ', "" A customer shows up at a lodging anticipating to stay in a particular area they had booked, yet finds that it's now reserved by someone else "", ' What if an overnight visitor arrives at a hotel expecting to occupy a room they had pre-booked, only to learn the establishment had given it over to another party?']"
8;What is the latest time a reservation can be canceled without penalty?;"Guaranteed reservation without any penalties may be canceled up to 72 hours prior to
arrival date, by sending a written request for reservation cancellation by e- mail
office@lhj.lv or by exact online reservation systems, where the booking was made.";8;['\nConfirmed reservations do not incur any fees and may be cancelled up to 72 hours prior to check-in time, by submitting a written request to cancel reservation via email office@lhj.lv or online booking platforms ', '\nReservations with no penalty can be cancelled within 3 days of the planned arrival date, through an official written notice sent to our office email address office@lhj.lv or by using the same electronic booking systems where the original reservation was made ', '\nGuaranteed reservations may be cancelled without any fee up to 72 hours prior to check-in date, with a formal request submitted via email office@lhj.lv or online booking platforms ', '\nReservations without penalties can be cancelled until 3 days before arrival by submitting an official written cancellation request via email office@lhj.lv or through the same internet reservation systems where the booking was made ', '\nUp to 72 hours prior to arrival date, confirmed bookings may be cancelled with no charges incurred, by sending a formal request for cancellation via email office@lhj.lv or online booking platforms ', '\nConfirmed reservations can be cancelled without penalty until 3 days before planned check-in time, through official written notice sent to office@lhj.lv email address or the same electronic booking systems used for original reservation ', '\nNo-fee cancellations are allowed up to 72 hours prior to arrival date, via submission of a formal written request for cancellation, which can be sent to our office email address office@lhj.lv or through online reservation platforms where the booking was made ', '\nBookings with no penalties can be cancelled until 3 days before planned arrival, by submitting an official written cancellation notice via email office@lhj.lv or using the same electronic booking systems used for original reservation ', '\nGuaranteed reservations may be cancelled without fee up to 72 hours prior to check-in date, through a formal written request submitted via email office@lhj.lv or online booking platforms where the initial reservation was made ', ''];6;12;"[' \nAt what point do cancellations stop incurring late fees?\n', ' \nCan a cancellation occur past the deadline without financial repercussions?\n', ' \nWhen does cancellation become free of penalties?\n', ' \nIs there an end time for cancelling bookings without monetary consequences?\n', "" \nWhat's the last minute to cancel reservations without added expenses?\n"", ' \nAt what hour do cancellations cease being chargeable?\n', ' \nIs there a specific point when cancellations stop incurring additional costs?\n', ' \nCan reservations be cancelled after the deadline without penalty?\n', ' \nWhen does cancellation become penalty-free?']"
9;What are the consequences for a guest who cancels a guaranteed reservation without notifying the hotel?;"
In case of delayed reservation cancellation or without informing the hotel about
reservation cancellation, the hotel does not return the pre-paid amount for a
guaranteed reservation.";9;"[' If a guaranteed booking is cancelled without prior warning ', "" A reservation that's cancelled late may result in forfeited funds "", ' Without notification, a prepaid booking could be entirely lost ', ' Failing to cancel on time can mean a pre-paid amount will not be refunded ', "" Cancellation of an assured reservation after the deadline won't get you your money back "", ' No refund is given when cancelling a confirmed reservation at short notice ', ' Failure to inform us of cancellation before the deadline means no refund will be issued ', ' If a guaranteed booking is cancelled without prior warning, the pre-paid amount will not be returned ', ' When cancelling an assured reservation late, we cannot return the prepaid amount']";7;12;[' What repercussions befall an individual who makes changes to their itinerary without giving notice to the accommodation provider ', ' What are the penalties incurred by a person who breaks a confirmed booking without first advising the hotel ', ' If a guest cancels a guaranteed reservation without notifying the hotel, what will happen to them ', ' What happens when someone fails to notify the lodging establishment about their cancellation of a confirmed room ', ' Are there any consequences for an individual who does not inform the hotel about their change of plans regarding a reserved accommodation ', ' What are the repercussions faced by a person who cancels a guaranteed reservation without giving prior notice to the hotel ', ' If an individual fails to notify the hotel about their cancellation of a reserved room, what will be the outcome ', ' Can a guest cancel a confirmed booking without notifying the lodging establishment and if so, what are the consequences ', '']
