;question;answer;question_index;answer_reformulate;answer_index;document_index;question_reformulate
0;What is the condition under which an Accommodation Agreement does not become effective?;"Accommodation Agreements become effective when the Hotel approves the request described in Article 2 above. However, this
will not apply if it is proved that the Hotel did not approve the request.";0;[' Arrangements of Stay come into force ', ' Booking Confirmations take hold ', ' Contracts become active ', ' Reservation Agreements kick in ', ' Terms and Conditions become enforceable ', ' Clauses are put into operation ', ' Provisions become operative ', ' Article 2 requests are approved ', ' Hotel approvals make it official'];0;10;[' Under what conditions does a Lodging Arrangement fail to materialize ', ' In what situations does a Boarding Agreement fall short of being implemented ', ' When do circumstances render a Residency Pact ineffective ', ' What stipulations must be met for a Room Rental to become invalid ', ' Can an Apartment Lease be considered null and void under specific conditions ', ' Under which terms does a House Sharing Arrangement cease to be binding ', ' In what scenarios does a Shared Living Agreement fail to come into force ', ' What happens when the requirements of a Guest Quarters Contract are not met ', ' When do circumstances lead to the invalidation of a Co-Habiting Pact']
1;What is the payment method specified by the Hotel for Guests to pay the accommodation fee?;"When Accommodation Agreements become effective as described in Paragraph 1 above, Guests, by the payment method Hotel
specifies, shall pay the Hotel an amount not exceeding the basic accommodation fee for the requested dates of stay by the date
Hotel specifies.";1;[' Guests are required to settle their bill via the method stipulated by the hotel ', ' Payment in full is due on or before the deadline specified by the establishment ', ' When a booking agreement comes into effect ', ' The guest must reimburse the hotel for the basic nightly rate up until the departure date as stated ', ' Upon activation of the stay terms, guests are expected to remit payment within the timeframe designated ', ' If and when a room rental pact becomes binding ', ' Guests shall be responsible for paying their share of the lodging fee prior to checking out ', ' When an overnight accommodation contract is finalized ', ' The guest will be required to make full payment by the date determined by the hotel'];1;10;"[' \nHow do hotels instruct guests to compensate them for overnight stays ', ' \nWhich method of payment do hotels mandate for clients to reimburse their room fees ', ' \nThrough what payment mechanism do hotels allow guests to settle their stay costs ', ' \nWhat monetary compensation procedure do hotels dictate for guests to pay their accommodation fees ', ' \nBy what financial method do hotel staff require clients to pay for their lodging expenses ', ' \nIn what manner of transaction does the Hotel direct guests to make payments for their overnight stays ', "" \nWhat specific mode of payment is the Hotel's policy for clients to reimburse them for room reservations "", ' \nHow exactly do hotels stipulate that guests should remit their accommodation charges ', ' \nAt what point during check-in do hotel staff advise guests regarding which payment method they are allowed to use ', '']"
2;What are the conditions described in Articles 7 and 19 below that may result in the application of the request fee?;"Firstly, the request fee described in Paragraph 2 above will be applied to final accommodation fee that Guests are required to pay.
Secondly, in the event of any of the conditions described in Articles 7 and 19 below, such request fee will be applied to cancellation
fee and then to compensation. Thirdly, if there is any balance remaining, it will be returned to Guests’ credit card when Guests
made payments by credit card and to bank accounts that Guests designate when Guests made payments by other means.";2;"[' The supplementary charge detailed in Clause 2 will be appended to the last accommodation fee that Visitors are obligated to pay.\nSubsequently ', ' In the event of any of the stipulations outlined in Articles 7 and 19 below, such supplementary charge will be utilized for cancellation charges and subsequent compensation.\nConsequently ', "" If there remains an outstanding balance, it will be remitted to Guests' credit card when payments were made via credit card and to bank accounts specified by Guests when payments were made through alternative means.\nInitially "", ' The add-on fee mentioned in Paragraph 2 above will be levied on the final accommodation charge that Patrons are required to settle.\nSubsequently ', ' In the event of any of the conditions detailed in Articles 7 and 19 below, such add-on fee will be applied towards cancellation fees and subsequent reparations.\nConsequently ', "" If there is a residual balance, it will be returned to Visitors' credit card when payments were made through credit card facilities and to bank accounts that Patrons designated when payments were made via other mediums.\nInitially "", ' The supplementary charge outlined in Paragraph 2 above will be added to the final accommodation fee that Guests are required to reimburse.\nSubsequently ', ' In the event of any of the stipulations detailed in Articles 7 and 19 below, such supplementary charge will be applied towards cancellation charges and subsequent compensation payments.\nConsequently ', "" If there remains a balance outstanding, it will be remitted to Patrons' credit card when payments were made via credit card and to bank accounts specified by Patrons when payments were made through alternative financial channels.\nInitially "", ' The add-on fee detailed in Clause 2 above will be added on to the final accommodation charge that Visitors are required to settle their dues for.\nSubsequently ', ' In the event of any of the stipulations outlined in Articles 7 and 19 below, such add-on fee will be utilized towards cancellation fees and subsequent reparations payments.\nConsequently ', "" If there remains an outstanding balance, it will be returned to Guests' credit card when payments were made via credit card facilities and to bank accounts that Patrons designated when payments were made through other financial mediums.""]";2;10;[' Are there specific situations outlined in Articles 7 and 19 where an additional fee is required for processing requests? ', ' Under what conditions, as stipulated by Articles 7 and 19, would a supplementary payment be applicable for submitted requests? ', ' Can you clarify the scenarios described in Articles 7 and 19 that necessitate the payment of an extra charge for handling requests? ', ' What particular provisions within Articles 7 and 19 might result in the levying of an additional fee when processing requests? ', ' Are there specific parameters mentioned in Articles 7 and 19 that could lead to the imposition of a supplementary payment on submitted requests? ', ' Can you specify the exact conditions listed in Articles 7 and 19 that may necessitate the application of an extra charge for handling requests? ', ' In what instances, as outlined by Articles 7 and 19, would the payment of a request fee be applicable? ', ' What are the stipulations found within Articles 7 and 19 regarding the circumstances under which a supplementary payment is required for submitted requests?']
3;"
How will the remaining balance after applying the request fee be handled if Guests made payments by other means than credit card?";"Firstly, the request fee described in Paragraph 2 above will be applied to final accommodation fee that Guests are required to pay.
Secondly, in the event of any of the conditions described in Articles 7 and 19 below, such request fee will be applied to cancellation
fee and then to compensation. Thirdly, if there is any balance remaining, it will be returned to Guests’ credit card when Guests
made payments by credit card and to bank accounts that Guests designate when Guests made payments by other means.";3;"[' The supplementary charge detailed in Clause 2 will be appended to the last accommodation fee that Visitors are obligated to pay.\nSubsequently ', ' In the event of any of the stipulations outlined in Articles 7 and 19 below, such supplementary charge will be utilized for cancellation charges and subsequent compensation.\nConsequently ', "" If there remains an outstanding balance, it will be remitted to Guests' credit card when payments were made via credit card and to bank accounts specified by Guests when payments were made through alternative means.\nInitially "", ' The add-on fee mentioned in Paragraph 2 above will be levied on the final accommodation charge that Patrons are required to settle.\nSubsequently ', ' In the event of any of the conditions detailed in Articles 7 and 19 below, such add-on fee will be applied towards cancellation fees and subsequent reparations.\nConsequently ', "" If there is a residual balance, it will be returned to Visitors' credit card when payments were made through credit card facilities and to bank accounts that Patrons designated when payments were made via other mediums.\nInitially "", ' The supplementary charge outlined in Paragraph 2 above will be added to the final accommodation fee that Guests are required to reimburse.\nSubsequently ', ' In the event of any of the stipulations detailed in Articles 7 and 19 below, such supplementary charge will be applied towards cancellation charges and subsequent compensation payments.\nConsequently ', "" If there remains a balance outstanding, it will be remitted to Patrons' credit card when payments were made via credit card and to bank accounts specified by Patrons when payments were made through alternative financial channels.\nInitially "", ' The add-on fee detailed in Clause 2 above will be added on to the final accommodation charge that Visitors are required to settle their dues for.\nSubsequently ', ' In the event of any of the stipulations outlined in Articles 7 and 19 below, such add-on fee will be utilized towards cancellation fees and subsequent reparations payments.\nConsequently ', "" If there remains an outstanding balance, it will be returned to Guests' credit card when payments were made via credit card facilities and to bank accounts that Patrons designated when payments were made through other financial mediums.""]";2;10;"[' Will there be an issue with the remaining balance if guests used payment options aside from credit cards ', ' How will we handle any leftover cash if guests paid in different ways, such as by check or wire transfer ', "" What's the procedure for dealing with outstanding funds if customers paid via non-card methods like PayPal or cash "", ' If a user paid using multiple means other than their card, how would we address the balance that remains ', ' Would there be any complications with remaining balances if guests used payment options beyond credit cards such as bank drafts or online payment platforms ', "" How will unprocessed payments from guests who didn't use their credit card be handled after applying service fees "", "" What's the protocol for dealing with balances left over after a charge is applied to guests who paid in methods other than credit cards "", "" Will there be any repercussions if we can't process remaining payments made by guests using different payment systems like direct deposits or electronic funds transfer "", '']"
4;What happens to a guest's reservation if they do not pay the request fee on time?;"If Guests do not pay the request fee described and as stipulated in Paragraph 2 above, by the payment due date specified by the
Hotel, their reservation becomes immediately null and void, provided that the Hotel has notified them of the payment due date in
advance.";4;"[' who do not comply with the mandatory payment requirement ', "" won't have any valid reservations if they don't meet the deadline "", ' will lose their booking rights if they miss the stipulated paydate ', ' are subject to cancellation of their reservation if they fail to settle the fee on time ', "" their hotel stay is automatically terminated if they don't fulfill the financial obligation "", "" becomes invalid if guests don't honor their payment commitment "", ' gets cancelled if they neglect to meet the payment deadline ', "" will forfeit their spot if they don't pay up by the due date "", ' has no validity once the specified payment period has elapsed ', ' ceases to be effective when the guest fails to remit the required fee.']";3;10;"[' If a guest misses the deadline to settle their charges, what happens to their accommodation arrangement? ', "" What happens to a person's reservation at an establishment if they miss the payment due date? "", ' Can a guest still have their room assigned to them if they do not meet the payment terms in time? ', "" How does not paying the required fee on schedule impact a visitor's lodging arrangements? "", ' Is there any way for a guest to recover their booking if they fail to pay the requested fee before the deadline passes? ', "" What happens to a person's reservation at an establishment when they are unable or unwilling to pay the payment due date on time? "", ' Can someone still have access to their reserved room if they miss the payment term and do not make up for it in advance? ', "" How does missing the payment due date affect a guest's right to occupy their assigned lodging space?""]"
5;What are the conditions under which the hotel may not require payment of the request fee?;"Notwithstanding Article 3 Paragraph 2 above, after entering Accommodation Agreements, the Hotel may in some cases offer a
special agreement in which payment of the request fee will not be required.";5;[' However, once an Accommodation Agreement has been entered into, the Hotel may occasionally provide a special arrangement whereby no payment for the requested service will be demanded.\nAlthough Article 3 Paragraph 2 applies ', ' Nonetheless, upon execution of an Accommodation Agreement, the Hotel might sometimes offer a unique agreement under which the fee for the requested service would not be collected.\nNotwithstanding any provisions in Article 3 Paragraph 2 ', ' Following the signing of an Accommodation Agreement, the Hotel may occasionally present a special arrangement whereby the payment for the requested fee will not be required.\nDespite being covered by Article 3 Paragraph 2 ', ' In some instances, after entering into an Accommodation Agreement, the Hotel might offer a specific agreement under which no charge would be levied for the requested service.\nIn view of Article 3 Paragraph 2 ', ' Upon execution of an Accommodation Agreement, the Hotel could potentially provide a special arrangement whereby the payment for the requested fee is waived.\nNotwithstanding any provisions in Article 3 Paragraph 2 ', ' The Hotel may offer a special agreement to guests who have entered into an Accommodation Agreement under which no payment will be required for the requested service.\nWhile governed by Article 3 Paragraph 2 ', ' Once an Accommodation Agreement has been signed, the Hotel might present a special arrangement whereby the fee for the requested service would not need to be paid.\nIn compliance with any applicable laws but disregarding Article 3 Paragraph 2 ', ' Upon execution of an Accommodation Agreement, the Hotel may choose to offer a unique agreement under which no payment will be collected for the requested service.\nDespite its stipulations in Article 3 Paragraph 2 ', ' The Hotel might sometimes provide a special arrangement for guests who have entered into an Accommodation Agreement whereby they would not need to pay the fee for the requested service.'];4;10;['\nUnder what scenarios would a hotel be exempt from enforcing its no-refund policy ', '\nAre there specific situations where a hotel is entitled to forgo collecting its penalty fee ', '\nCan you identify any exceptions that might permit a hotel to skip charging its guest the request fee ', '\nWhat exemptions, if any, would allow a hotel not to collect its cancellation charge ', '\nWhen might a hotel be allowed to waive its payment of the no-show fee ', '\nUnder what conditions could a hotel opt not to collect its penalty for early departure ', '\nCan you name any exceptions that permit a hotel to skip charging its guest the request fee ', '\nAre there specific circumstances where a hotel would be justified in waiving its no-refund policy ', '\nWhat scenarios might enable a hotel to forgo collecting its cancellation charge ', '']
6;What is the purpose of the payment due date in the Accommodation Agreements?;"If the Hotel did not request payment of the request fee described in Article 3 Paragraph 2 above when accepting the request for
Accommodation Agreements, or did not specify a payment due date, Accommodation Agreements will be treated as a special
agreement as described in Paragraph 1 above.";6;"[""\nWhen the hotel didn't ask for payment of the fee mentioned in Article 3 Paragraph 2 above when they accepted the request for accommodation agreements, or didn't mention a date by which it had to be paid, the accommodation agreements were treated like a special agreement as stated in Paragraph 1 above "", '\nUnless the hotel specifically requested payment of the fee specified in Article 3 Paragraph 2 above at the time of accepting the request for accommodation agreements, and also indicated a due date for payment, these agreements would be regarded as a separate arrangement as described in Paragraph 1 above ', '\nIn the event that the hotel neglected to collect payment of the requested fee outlined in Article 3 Paragraph 2 above upon accepting the request for accommodation agreements, or failed to state a deadline for payment, such agreements were considered a special agreement as described in Paragraph 1 above ', ""\nIf the hotel did not demand payment of the fee detailed in Article 3 Paragraph 2 above at the time of accepting the request for accommodation agreements, and didn't specify a payment due date, these agreements would be treated like a unique arrangement as stated in Paragraph 1 above "", '\nWhen the hotel declined to collect payment of the requested fee mentioned in Article 3 Paragraph 2 above upon accepting the request for accommodation agreements, or did not indicate a deadline by which it had to be paid, such agreements were regarded as a special agreement as described in Paragraph 1 above ', '\nUnless the hotel explicitly asked for payment of the fee specified in Article 3 Paragraph 2 above when they accepted the request for accommodation agreements, and also stated a due date for payment, these agreements would be considered a separate arrangement as described in Paragraph 1 above ', '\nIn the case that the hotel failed to collect payment of the requested fee outlined in Article 3 Paragraph 2 above at the time of accepting the request for accommodation agreements, or did not indicate a deadline for payment, such agreements were treated like a special agreement as stated in Paragraph 1 above ', ""\nWhen the hotel didn't ask for payment of the requested fee detailed in Article 3 Paragraph 2 above upon accepting the request for accommodation agreements, and didn't specify a payment due date, these agreements would be regarded as a unique arrangement as described in Paragraph 1 above "", '']";5;10;"['\nHow do scheduled payments impact accommodation leases for students? ', '\nWhat role does a specific payment calendar play in agreement terms with dormitories or private landlords? ', '\nCan you elaborate on why an exact date is set for tuition fee instalments in student residency agreements? ', '\nIn what way does the inclusion of payment due dates affect the conditions of student room rentals? ', '\nHow might including a specific deadline for monthly fees impact residence contracts between students and dorm owners? ', ""\nWhat's the reasoning behind setting a particular day or time for settlement of accommodation charges within contract terms with private hostels? "", '\nCan you clarify why there is often an exact date set for payment obligations in student boarding house agreements? ', '\nIn what manner does scheduling payments influence student room lease contracts that include specific dates for monetary settlements? ', '\nWhat importance does the inclusion of a scheduled payment term hold in the overall framework of residence agreements with dormitories or shared living spaces?']"
7;Is the hotel's written consent required for guests to allow others to use their facilities?;"
Guests will not let others stay at the Hotel, assign or resale Accommodation Agreements, or let others use Hotel’s facilities for
Guests only without the Hotel's prior written consent.";7;"[' \n Guests are prohibited from leasing, assigning, or reselling accommodation contracts ', ' \n Visitors will not allow third parties to utilize hotel facilities without explicit hotel authorization ', ' \n No guest may allow unauthorized persons to reside in their allocated accommodations ', "" \n Hotel guests must obtain prior written approval before allowing others to use the hotel's amenities "", ' \n The hotel does not permit patrons to enable others to occupy or utilize its facilities ', ' \n Visitors will not authorize anyone other than themselves to occupy the hotel ', ' \nHotel room occupants cannot let non-residents use hotel services without explicit permission ', ' \nGuests are not allowed to sublet their designated accommodations or grant access to unauthorized individuals ', ' \nPatrons of the hotel cannot allow unauthorized parties to stay in, utilize, or have access to the premises ', '']";6;10;[' Does the hotel have a policy requiring guests to obtain authorization for shared usage of their accommodations ', ' Are guests expected to secure written approval from the hotel staff before allowing friends or family members to utilize their rooms ', ' Must guests seek explicit consent from the hotel administration prior to permitting others to make use of their quarters ', ' Can guests freely allow others to use their rooms without needing permission from the hotel ', ' Does the hotel have a policy requiring guests to register and obtain clearance for sharing their accommodations with others ', ' Are guests obliged to notify the hotel in advance if they wish to permit someone else to utilize their room ', ' Must guests obtain explicit permission from the hotel before granting access to their quarters to friends or family members ', ' Is written authorization from the hotel mandatory for guests who want to allow someone else to use their accommodations ', '']
8;What is the purpose of the Hotel contacting the Guests before the date of stay?;"Before the date of stay, the Hotel may contact Guests through the contact information provided based on Article 2 Paragraph 1
above for confirmation of bookings, etc. In this case, Guests will respond unless there are unavoidable circumstances.";8;"["" \nBefore a guest's visit commences, the hotel might make contact through information provided under Article 2, paragraph 1 "", '\nAhead of their accommodation period, proprietors might phone or email guests based on the data given in compliance with article 2, paragraph 1 ', ""\nPre arrival, we may contact you via the details you've supplied us using Article 2 Paragraph 1 for any updates "", "" \nIn advance of a guest's stay the accommodation provider will communicate through the provided contact information under the terms of Article 2 "", ' \nThe hotel may get in touch with guests prior to their visit in accordance with Article 2, paragraph 1 based on the contact details supplied ', "" \nPrior to the start date of your reservation we might reach out using the details you've given us in relation to Article 2 Paragraph 1 "", ""\nBefore a guest's stay begins proprietors may make contact via phone or email etc using the information provided under Article 2, paragraph 1 "", '\nIn preparation for their visit proprietors may use Article 2, paragraph 1 to confirm bookings and details with guests ', ' \nThe hotel will use Article 2 Paragraph 1 as a basis for contacting Guests before they arrive and stay with us ', '']";7;10;"[' Why does the Hotel opt for a pre-arrival outreach strategy in relation to its clientele?\n\n', ' To what end do Hotels generally engage in advance communication with prospective or confirmed Guests?\n\n', ' What might prompt a Hotel to reach out to its registered Guests ahead of time?\n\n', "" How can the Hotel's pre-stay interaction be interpreted, and what underlying goals may it serve?\n\n"", "" Is there any discernible rationale behind the Hotel's preference for contacting its Guests before their scheduled arrival date?\n\n"", ' In making contact with Guests prior to their stay, does the Hotel have a specific purpose or objective in mind?\n\n', ' What could possibly drive the Hotel to proactively engage with its registered Guests ahead of time?\n\n', ' By initiating communication with its Guests before the start of their stay, what might the Hotel hope to achieve?\n\n', "" How can we understand the Hotel's decision to reach out to its Guests pre-arrival, and what potential benefits might it derive from such an approach?""]"
9;What are the cases in which the Hotel may decline to enter into Accommodation Agreements?;"
Special Agreements in Which Payment of the Request Fee is Not Required
In any of the following cases, the Hotel may decline to enter into Accommodation Agreements.";9;['\nIn circumstances such as those described below, the establishment may refrain from concluding Guest Arrangements ', '\nIn these situations, the Inn may choose not to enter into Reservation Agreements ', '\nThe Hotel reserves the right to decline entering into Accommodation Contracts in any of the following cases ', '\nUnder these conditions, the Resort may elect not to execute Guest Service Agreements ', '\nIn case of the following circumstances, the Motel may opt out of forming Arrangement Agreements ', '\nIn the event of the aforementioned situations, the Hostel may decide against entering into Contractual Obligations ', '\nWhen one or more of the below-mentioned events occur, the lodging establishment may choose not to accept Guest Reservations ', '\nThe Hotel has the right to refuse Accommodation Services in any of the following instances ', '\nIn cases such as those outlined below, the Hotel may decline to execute Service Contracts ', ''];8;10;['\nUnder what circumstances would a Hotel be justified in declining to execute Guest Stay Agreements ', '\nCan you list instances where a Hotel would not engage in providing Lodging Services to guests ', '\nWhen might a Hotel choose not to finalize Accommodations Arrangements with customers ', '\nIn what situations could a Hotel opt out of offering Guest Accommodations ', '\nWhat are the possible reasons for a Hotel to refuse entering into Lodging Agreements ', '\nCan you specify scenarios where a Hotel would decline to provide Accommodation Services ', '\nUnder what conditions might a Hotel not enter into Room Rental Arrangements with clients ', '\nIn what cases could a Hotel decide against executing Guest Stay Contracts ', '\nWhen are there valid grounds for a Hotel to refuse entering into Accommodations Agreements ', '']
