;question;answer;question_index;answer_reformulate;answer_index;document_index;question_reformulate
0;Who is personally liable for the booking and accommodation expenses?;"The person making the booking ('the Principal Customer'), whether in his/her personal capacity, for his/her
family or a group (whether traveling socially, for leisure or for business, tourism, or incentives) will be
personally liable for the booking and accommodation, cancellation, non-arrival and any expenses, loss or
damage incurred (whether personal, hotel or third-party property) during the booking period.";0;[' The Principal Party ', ' The Customer ', ' The Purchaser ', ' The Booker ', ' The Guest ', ' The Traveler ', ' The Individual ', ' The Person Making the Reservation ', ' The Party Leader ', ' The Responsible Person'];0;1;['\nWhat person has personal obligation to cover booking and stay expenses? ', '\nWhose private funds will be used to pay for the booking and accommodations? ', '\nTo whom does the duty fall to personally finance booking and lodging arrangements? ', '\nIs someone responsible on a one-on-one basis for paying the bill for bookings and accommodations? ', '\nWho is going to foot the bill individually for reservations and stay expenses? ', '\nCan a single person be held accountable for paying the costs of booking and staying at an establishment? ', '\nWho will cover all of the individual expenses related to making a reservation and staying somewhere? ', '\nIs there someone personally responsible for taking on the financial burden of booking and accommodations? ', '\nWhat one person has sole personal responsibility to cover booking and stay-related costs?']
1;What type of expenses will you be deemed the contracting party for?;"
Without limiting the generality of the aforementioned, it applies to pay-to-view TV programmes or videos, as
well as telephone calls or any other expenses of a similar nature that is made from your room, you will be
deemed to be the contracting party.";1;"[' viewed on a pay-per-view basis or video footage, as well as phone calls or other comparable expenses incurred \n', "" from one's living quarters, you will be considered the responsible party.\n "", ' It is not just restricted to television programmes or videos that require payment for viewing \n', ' but also encompasses telephone expenditures and similar outlays originating from your personal residence \n', "" Regardless of whether we're discussing TV shows or films on a pay-per-view basis \n"", "" any phone calls made or expenses incurred in your private quarters, you'll be considered the principal party \n"", ' The previously mentioned stipulation is not exclusive to televised content or video footage that requires payment \n', ' but also includes other expenses such as phone calls that originate from your personal living space \n', ' This provision applies not only to television programmes or videos viewed on a pay-per-view basis \n', ' but also extends to telephone calls and any other comparable outlays originating from your private residence']";1;1;"[' What types of financial obligations does a contractor take on ', "" What categories of expenses fall under a contractor's responsibility "", ' Which costs are associated with being a contractor ', ' What expenses does a contractor need to account for ', ' What kinds of expenses will be attributed to the contractor ', ' What types of financial burdens come with contracting work ', ' In what ways can a contractor expect to be financially responsible ', ' What kind of expenditures should a contractor budget for ', ' How will the expenses of contracting be allocated']"
2;What is the main responsibility of the Principal Customer according to the given text?;"
The Principal Customer warrants that he/she is duly authorized to make the booking and to accept all the
terms and conditions (the T's & C's) contained herein.";2;[' they have the necessary authority ', ' to execute the reservation ', ' and agree ', ' to all stipulations ', ' listed within this document ', ' as well as terms ', ' of engagement ', ' outlined hereinafter ', ' in said agreement ', ' hereby binding ', ' themselves thereto ', '.\n\n\n\nThe Purchaser guarantees ', ' that he/she holds ', ' the requisite power ', ' of attorney ', ' to complete ', ' the transaction ', ' and abide ', ' by all clauses ', ' specified herein ', ' including terms ', ' and conditions ', ' laid down ', ' within this contract ', '.\n\n\n\nThe Client verifies ', ' that they possess ', ' sufficient authority ', ' to undertake ', ' the purchase ', ' and comply ', ' with all undertakings ', ' outlined in this document ', ' together ', ' with stipulations ', ' as detailed ', ' hereinafter ', '.\n\n\n\nThe Authorized Purchaser certifies ', ' that he/she is empowered ', ' to effect ', ' the booking ', ' and adhere ', ' to all conditions ', ' stated within this agreement ', ' including terms ', ' of service ', ' as specified ', ' herewith ', '.\n\n\n\nThe Subscriber confirms ', ' they have ', ' the requisite authority ', ' to register ', ' for the services ', ' and comply ', ' with all terms ', ' and conditions ', ' outlined in this contract ', '.\n\n\n\nThe Guarantor verifies ', ' that he/she has ', ' the necessary powers ', ' of attorney ', ' to engage ', ' in this transaction ', ' and abide ', ' by all clauses ', ' stated herein ', ' including stipulations ', ' as detailed ', ' hereinafter ', '.\n\n\n\nThe Registered User certifies ', ' they hold ', ' sufficient authority ', ' to register ', ' for the service ', ' and agree ', ' to all terms ', ' and conditions ', ' listed within this document ', '.\n\n\n\nThe Authorized User verifies ', ' that he/she is empowered ', ' to make ', ' the booking ', ' and adhere ', ' to all undertakings ', ' specified herein ', ' together ', ' with stipulations ', ' as detailed ', ' hereinafter ', '.\n\n\n\nThe Contracting Party confirms ', ' they possess ', ' the requisite authority ', ' to enter ', ' into this agreement ', ' and comply ', ' with all terms ', ' and conditions ', ' outlined in this contract ', '.\n\n\n\nThe Person of Authority verifies ', ' that he/she has ', ' sufficient power ', ' of attorney ', ' to execute ', ' the transaction ', ' and abide ', ' by all clauses ', ' stated herein ', ' including stipulations ', ' as detailed ', ' hereinafter ', '.'];2;1;"[' In what capacity does the Principal Customer operate?\n\n', "" What specific duties fall under the umbrella of the Principal Customer's job description?\n\n"", ' Can you identify the key responsibilities entrusted to the Principal Customer?\n\n', ' Who bears primary responsibility within the context provided?\n\n', ' In what way is the Principal Customer expected to contribute?\n\n', "" How do we define the Principal Customer's sphere of influence?\n\n"", ' What are the critical tasks that the Principal Customer needs to attend to?\n\n', ' To whom does the Principal Customer owe a direct line of accountability?']"
3;What is the maximum number of people allowed in the room according to the specified limitation?;"
Please take note of the limitation specified for the room you have booked.
If such number is exceeded, whether temporarily or over-night, we reserve the right to do one or more of
the following: cancel your booking; retain all the monies you've paid; request you to vacate your room(s)
forthwith, charge a higher rate for the room or recover all monies due.";3;"['Be aware that exceeding this number will trigger one of several consequences: \n', ""The booking may be cancelled; any paid fees will be retained; you'll be asked to vacate immediately; an additional charge will be applied or all owed monies will be recovered.\n"", 'Your room reservation is subject to a specific maximum occupancy level, which if surpassed, may lead to cancellation of your booking, retention of payments made, and/or eviction from the premises forthwith.\n', 'Please remember that your booked accommodation has a fixed capacity; exceeding this will allow us to cancel the booking, keep all paid monies, or request you leave immediately.\n', 'In case of an overcrowding situation, we reserve the right to cancel your reservation, withhold all payments, and/or ask you to vacate the premises at once.\n', ""The room you've booked comes with a specific maximum occupancy clause; if this is exceeded, we may need to cancel the booking, keep all paid monies, or request that you leave the property immediately.\n"", ""Be aware that the room type you've chosen has a limited capacity; should this be exceeded, we reserve the right to take one or more of the following actions: cancellation of your booking, retention of payments, eviction, and/or charging an additional fee.\n"", 'Please note that exceeding the maximum occupancy for your reserved accommodation may result in us cancelling your booking, keeping all paid monies, requesting you vacate the premises immediately, or applying an additional room charge.\n', 'The number of guests allowed in your booked accommodation cannot be exceeded; should this occur, we reserve the right to cancel the reservation, retain payments made, request immediate departure from the premises, and/or recover any owed monies.']";3;1;[' How many persons are permitted to enter the given area at a single time? ', ' At what point does the room reach its maximum occupancy limit regarding human presence? ', ' What is the highest number of humans allowed in the specified geographical location? ', ' In what manner does the capacity limitation restrict the amount of individuals within the defined boundaries? ', ' Can you provide information on the greatest quantity of people that can be present within the designated area? ', ' How many human beings are permitted to enter and occupy the given space simultaneously? ', ' What is the numerical value representing the maximum number of humans allowed in the room? ', ' In what way does the specific limitation influence the total count of individuals inside the defined space?']
4;Are visitors allowed to be in the same room as residents in this establishment?;"
Visitors are not allowed in the rooms and must be entertained in the lounges and/or other public areas
provided.";4;['\nIndividuals who are visiting are not permitted to enter the private quarters and will be redirected to the social areas ', '\nNon-residents are barred from accessing the living spaces and will be required to stay in the public areas ', '\nUnauthorized visitors cannot enter the designated guest rooms and must use the shared facilities ', '\nPeople not registered as guests are not allowed entry into the bedrooms and must make use of the common areas ', '\nVisitors who are not members of our household cannot access the private quarters and should remain in the reception areas ', '\nThose wishing to visit are asked not to enter the sleeping rooms and will be provided with space in the public lounges ', '\nGuests are not permitted entry into the designated bedrooms and must instead use the social spaces ', '\nPeople who are visiting are not allowed to enter the private suites and must make do with the communal areas ', '\nThose who are not part of our household are requested to stay out of the sleeping quarters and should be entertained in the public reception spaces ', ''];4;1;[' Is it possible for patrons to coexist with permanent residents within the confines of the premises ', ' Do visitors have permission to enter spaces occupied by long-term residents ', ' May outsiders join inhabitants in communal areas within this facility ', ' Are individuals who are not residents allowed entry to areas shared with those who reside here ', ' Can non-residents gain access to rooms shared with people who live on-site ', ' Is it permissible for strangers to be present in the same room as established residents ', ' Do guests have clearance to enter spaces allocated to and used by permanent residents ', ' May the public enter areas that are designated for use by long-term residents ', ' Are outsiders permitted to join inhabitants within the confines of this establishment ', '']
5;What is included in the price as advertised? ;"
It is your duty to confirm what is included/excluded in the price. The price is as advertised, but subject to
change until the required deposit has been paid and is reflected in our bank account. The deposit is non-refundable
regardless of the circumstances giving rise to cancellation, unless cancelled by us.";5;"['\nThe quoted price remains valid but may vary until the necessary down payment has been made and reflected in our bank account ', ""\nIt's your responsibility to confirm what's part of the package deal "", ""\nPlease be aware that the listed price might change until we've received the required deposit "", '\nYou must verify which services are included or excluded from the cost ', '\nThe advertised price is accurate, but may be subject to revision until we receive payment and update our records ', ""\nYour duty is to confirm what's included/excluded in the package "", '\nWe advise you to confirm the services that make up the total cost ', '\nIt is your responsibility to ensure that the price includes or excludes all relevant services ', '\nThe listed price is only a guide, and may be changed until we receive confirmation of payment ', '']";5;1;"[' What services come standard with our offer? ', ' What amenities are mentioned in the promotional details? ', ' What aspects of the deal are explicitly stated as no extra charge? ', ' What benefits are clearly listed as part of the package? ', ' What elements of the product are mentioned as being bundled together? ', ' What components of the service are advertised as all-inclusive? ', ' What features of the experience are guaranteed not to incur additional fees? ', ' What aspects of the deal are touted as ""included in the price""? ', ' What services are explicitly stated as being included without extra cost?']"
6; What are the circumstances that would allow for the deposit to be refunded?;"
It is your duty to confirm what is included/excluded in the price. The price is as advertised, but subject to
change until the required deposit has been paid and is reflected in our bank account. The deposit is non-refundable
regardless of the circumstances giving rise to cancellation, unless cancelled by us.";6;"['\nThe quoted price remains valid but may vary until the necessary down payment has been made and reflected in our bank account ', ""\nIt's your responsibility to confirm what's part of the package deal "", ""\nPlease be aware that the listed price might change until we've received the required deposit "", '\nYou must verify which services are included or excluded from the cost ', '\nThe advertised price is accurate, but may be subject to revision until we receive payment and update our records ', ""\nYour duty is to confirm what's included/excluded in the package "", '\nWe advise you to confirm the services that make up the total cost ', '\nIt is your responsibility to ensure that the price includes or excludes all relevant services ', '\nThe listed price is only a guide, and may be changed until we receive confirmation of payment ', '']";5;1;[' When does a customer qualify for a deposit refund?\n\n', ' Under what conditions is the deposited amount repaid?\n\n', ' In what situations is it feasible to get the initial payment back?\n\n', ' What circumstances allow for reimbursement of the upfront cost?\n\n', ' Can you specify the instances where the paid-in-advance sum is returned?\n\n', ' When does the deposit become refundable?\n\n', ' Under what criteria can the deposited funds be given back?\n\n', ' Are there any specific situations in which the upfront payment is returned to the customer?\n\n', ' In what cases is it possible for the initial deposit to be repaid?']
7;Can you pay with a cheque at this establishment?;"
We accept cash and most credit / debit cards.
We do not accept cheques.";7;"[' We decline drafts. ', ' We will only accept bills and major bank cards ', ' Most payment methods are accepted except for checks ', ' We cannot process check payments, but we welcome other forms of money ', ' Our establishment accepts credit and debit card transactions ', ' No personal cheques please; cash is fine ', "" We do not take cheques, but we'll gladly accept any type of currency "", ' Bank cards and cold hard cash are our preferred payment methods ', "" Sorry, no checks allowed, but we'll gladly process your other forms of payment "", ' We only welcome credit and debit payments, with the exception of personal cheques.']";6;1;"['\nAre cheques an acceptable form of payment here?\n\n', '\nCan I write a check to settle my bill?\n\n', '\nDoes this business allow payment by cheque?\n\n', '\nIs it possible to pay with a draft?\n\n', '\nCan I use a post-dated cheque to pay?\n\n', ""\nDo you accept cashier's checks?\n\n"", '\nMay I settle the bill with a certified cheque?\n\n', ""\nCan I make a payment using a traveller's cheque?""]"
8;What type of payment method is used as an alternative to a credit card imprint?;"
We reserve the right to take an imprint of and place a hold for the anticipated costs of your stay on your
credit card upon arrival, or in lieu of that, request a cash deposit.";8;['\nOur policy allows us to pre-authorize and set aside an amount covering anticipated charges associated with your accommodation on your payment method upon arrival, or in its place, require a cash downpayment ', '\nWe reserve the privilege of taking a preliminary assessment of and securing an amount equivalent to expected costs incurred during your stay against your credit card at the time of check-in, or alternatively request a monetary deposit in cash ', '\nThe terms of our agreement permit us to pre-charge and set aside funds on your payment card for the estimated cost of your visit, or in lieu thereof ask for a cash guarantee ', '\nOur standard procedure involves taking an initial estimate of and holding funds against potential expenses related to your stay on your credit card at check-in, or alternatively requesting a monetary deposit ', '\nWe have the right to take a preliminary calculation of and place a reserve for the estimated costs associated with your visit against your payment method upon arrival, or in its place request a cash downpayment ', '\nOur company policy allows us to pre-determine and hold an amount covering expected expenses during your stay on your credit card at check-in, or alternatively request a monetary deposit in cash ', '\nWe reserve the authority to take an initial assessment of and secure funds against potential costs incurred during your visit on your payment method upon arrival, or in its place ask for a prepaid monetary deposit ', '\nThe terms of our agreement grant us the right to debit an estimate of and set aside funds against anticipated charges associated with your accommodation on your credit card at check-in, or alternatively request a cash downpayment ', '\nOur standard operating procedure involves taking a preliminary calculation of and holding funds against expected expenses related to your stay on your payment method upon arrival, or in its place requesting a monetary deposit ', ''];7;1;[' In what scenarios does a merchant use a substitute for the usual credit card verification procedure?\n\n', ' What secure financial transaction technique serves as a replacement for the customary card imprinting system?\n\n', ' What digital payment option is commonly used in place of the standard credit card scanning method?\n\n', ' Can you identify an alternative to the regular credit card swiping process that ensures secure transactions?\n\n', ' In what situations does a merchant choose to use a different payment processing method than the traditional credit card imprint?\n\n', ' What financial transaction technique serves as a backup for the standard credit card verification procedure?\n\n', ' What modern payment technology is often used in place of the conventional credit card scanning system?\n\n', ' Can you determine an alternative to the usual credit card swiping process that provides added security and convenience?']
9;What are the check-in and check-out times?;"
Please take note of our check-in & check-out times.";9;[' Note the deadlines for your stay ', ' Be aware of our timeframes for guest entry and exit ', ' Mind the scheduled hours for checking in and out ', ' Familiarize yourself with our designated times for arrival and departure ', ' Take note of the set times for checking out and checking in ', ' Pay attention to the specified periods for guest entry and exit ', ' Get familiar with the allocated times for your stay ', ' Know our timings for welcoming and bidding farewell ', ' Be mindful of the stipulated hours for guest registration and clearance'];8;1;[' When can I access and vacate my room?\n\n', ' What are the hours for guest entry and exit?\n\n', ' At what time do guests arrive and depart?\n\n', ' Can you provide the entrance and exit deadlines?\n\n', ' How late am I allowed to check-in and check-out?\n\n', ' What are the permitted arrival and departure times?\n\n', ' When should guests be present and absent?\n\n', ' What are the required check-in and check-out hours?\n\n', ' At what times does guest access and egress occur?']
