,question,answer,question_index,answer_index,document_index
0,What types of individuals are required to comply with the internal rules and regulations of hotel establishments?,"Article 25 of Decree-Law 13/2020, dated 18th May, states that hotel establishments must
have internal rules and regulations which must be complied with by users during their stay,
occasional guests, service users and those attending events held in the hotel.",O,0,17
1,What is the purpose of making internal regulations available to users?,"
The internal regulations shall always be available to users.",O,1,17
2,"What is the purpose of article 36.4 of Law 13/2011, of 23 December?","
The companies operating the hotel establishments may request the assistance of the
Security Forces and Corps to evict from the same those who do not comply with the internal
rules and regulations, do not comply with the usual rules of social coexistence or who attempt
to access or remain in the same for a purpose other than the normal use of the service, in
accordance with the provisions of article 36.4 of Law 13/2011, of 23 December.",O,2,17
3,What type of information is the rules of procedure required to provide about the administrative organisation?,"
The rules of procedure shall specify at least the following
Information on the administrative organisation and the responsible person to whom, where
appropriate, they shall address questions relating to the operation of the establishment.
List of services provided in the establishment.",O,3,17
4,What kind of risks are users informed about in relation to the facilities or services?,"
Information to users on the facilities or services that pose a risk and the safety measures
adopted in this regard.",O,4,17
5,What are the typical requirements for an animal to be admitted to a specific facility or environment?,"
Admission of animals and conditions for such admission.",O,5,17
6,What are the circumstances that allow for the normal development of the enjoyment of facilities?,"
In general, all the circumstances that allow and favour the normal development of the
enjoyment of the facilities, equipment and services.",O,6,17
7,What is the purpose of the Internal Regulations mentioned in the text?,"
In compliance with and development of the aforementioned Decree-Law, this hotel
establishment has drawn up these Internal Regulations, which set out the rules of obligatory
compliance for users during their stay, hereinafter referred to as Clients.",O,7,17
8,What language versions of the Regulations are available to the Client?,"
These Regulations are available to you, as a Client, at all times in both the Spanish and English
versions, and can be consulted at our Reception, as well as on our website.",O,8,17
9,What are the reasons for refusing admission or stay at this hotel? ,"
This Hotel is considered, for all purposes, as an establishment for public use, although
admission or stay may be refused:
   For lack of accommodation capacity or facilities.
For failure to comply with the admission requirements.
For adopting behaviour that may cause danger or inconvenience to other people, whether
they are users or not, or that hinder the normal development of the activity.",O,9,17
10," 
Can a hotel refuse admission or stay to anyone, even if they meet the admission requirements?","
This Hotel is considered, for all purposes, as an establishment for public use, although
admission or stay may be refused:
   For lack of accommodation capacity or facilities.
For failure to comply with the admission requirements.
For adopting behaviour that may cause danger or inconvenience to other people, whether
they are users or not, or that hinder the normal development of the activity.",C,9,17
11,What is the reason for the hotel requesting assistance from the Security Forces and Corps?,"
Our establishment will request the assistance of the Security Forces and Corps to evict
those who do not comply with these Internal Regulations, do not comply with the usual rules
of social coexistence, or who try to access or remain in the Hotel for purposes other than the
normal use of the service.",O,10,17
12,What is the reason the Hotel may cancel a client's reservation without a refund?,"
The Hotel reserves the right to refuse admission and cancel the reservation without the
right to a refund of any client who contravenes these Regulations or acts in a disrespectful
manner towards the Hotel facilities or the rest of the people who are in the Hotel, whether
they are Hotel staff or clients.",O,11,17
13,Can minors between 16 and 18 years old stay at the hotel without their parents' written permission?,"
The Hotel shall refrain from providing accommodation for minors who come alone.
However, minors between 16 and 18 years of age may be authorised in writing by their father,
mother or guardian to stay at the Hotel provided that they are responsible for the same and
assume the payment of the corresponding bill.",O,12,17
14,What type of document is required to identify the guest at the hotel?,"
In order to use the hotel room, it will be a prerequisite to properly complete the
admission document on arrival at the Hotel. You must present an official document that
identifies you and which will also serve for the Hotel to complete your registration in the
Establishment's Travellers' Register Book.",O,13,17
15,What information will be included in the copy of the admission document given to the guest?,"
Once the admission document has been completed, you will be given a copy of it, which
will include, at least, the name, classification and registration code in the Andalusian Tourism
Register of the establishment, the identification of the room, the number of people who will
occupy it, the check-in and check-out dates, the meal plan contracted and, when the
accommodation contract has been signed directly between you and the hotel, the total price
of the contracted stay, in which case you will be given the corresponding original document as
a contract.",O,14,17
16,"What are the rights of a client in this establishment? 
","
As a Client of this establishment, you have the following rights:
   To receive truthful, sufficient, comprehensible, unequivocal information, and prior to
contracting the period of accommodation, as well as the full final price, including taxes, with a
breakdown, where applicable, of the amount of any increases or discounts applied to any
eventual offer, provided that the accommodation contract has been signed between You and
the Hotel directly.
Obtain the documents that accredit the terms of the contract.
Access to our establishment under the terms of the contract.
Receive the services under the agreed conditions.
To have their security and that of their belongings duly guaranteed in our Hotel, as well as
their privacy, and to be informed of any circumstantial inconvenience that may alter their rest
and tranquillity.
To receive information about the facilities or services that involve any risk and the security
measures adopted.
To receive an invoice or receipt for the price paid for the services provided, provided that
the accommodation contract has been signed between you and the hotel directly or is paid
directly by you.
Formulate complaints and claims and obtain information on the procedure for submitting
them and their treatment.
To consult the terms of the privacy policy published on our website.",O,15,17
17," What information must the hotel provide to the client before contracting? 
","
As a Client of this establishment, you have the following rights:
   To receive truthful, sufficient, comprehensible, unequivocal information, and prior to
contracting the period of accommodation, as well as the full final price, including taxes, with a
breakdown, where applicable, of the amount of any increases or discounts applied to any
eventual offer, provided that the accommodation contract has been signed between You and
the Hotel directly.
Obtain the documents that accredit the terms of the contract.
Access to our establishment under the terms of the contract.
Receive the services under the agreed conditions.
To have their security and that of their belongings duly guaranteed in our Hotel, as well as
their privacy, and to be informed of any circumstantial inconvenience that may alter their rest
and tranquillity.
To receive information about the facilities or services that involve any risk and the security
measures adopted.
To receive an invoice or receipt for the price paid for the services provided, provided that
the accommodation contract has been signed between you and the hotel directly or is paid
directly by you.
Formulate complaints and claims and obtain information on the procedure for submitting
them and their treatment.
To consult the terms of the privacy policy published on our website.",C,15,17
18," What is the hotel required to provide in terms of documentation? 
","
As a Client of this establishment, you have the following rights:
   To receive truthful, sufficient, comprehensible, unequivocal information, and prior to
contracting the period of accommodation, as well as the full final price, including taxes, with a
breakdown, where applicable, of the amount of any increases or discounts applied to any
eventual offer, provided that the accommodation contract has been signed between You and
the Hotel directly.
Obtain the documents that accredit the terms of the contract.
Access to our establishment under the terms of the contract.
Receive the services under the agreed conditions.
To have their security and that of their belongings duly guaranteed in our Hotel, as well as
their privacy, and to be informed of any circumstantial inconvenience that may alter their rest
and tranquillity.
To receive information about the facilities or services that involve any risk and the security
measures adopted.
To receive an invoice or receipt for the price paid for the services provided, provided that
the accommodation contract has been signed between you and the hotel directly or is paid
directly by you.
Formulate complaints and claims and obtain information on the procedure for submitting
them and their treatment.
To consult the terms of the privacy policy published on our website.",C,15,17
19," What services are the client entitled to receive under the agreed conditions? 
","
As a Client of this establishment, you have the following rights:
   To receive truthful, sufficient, comprehensible, unequivocal information, and prior to
contracting the period of accommodation, as well as the full final price, including taxes, with a
breakdown, where applicable, of the amount of any increases or discounts applied to any
eventual offer, provided that the accommodation contract has been signed between You and
the Hotel directly.
Obtain the documents that accredit the terms of the contract.
Access to our establishment under the terms of the contract.
Receive the services under the agreed conditions.
To have their security and that of their belongings duly guaranteed in our Hotel, as well as
their privacy, and to be informed of any circumstantial inconvenience that may alter their rest
and tranquillity.
To receive information about the facilities or services that involve any risk and the security
measures adopted.
To receive an invoice or receipt for the price paid for the services provided, provided that
the accommodation contract has been signed between you and the hotel directly or is paid
directly by you.
Formulate complaints and claims and obtain information on the procedure for submitting
them and their treatment.
To consult the terms of the privacy policy published on our website.",C,15,17
20," What guarantees must the hotel provide for the client's security and belongings? 
","
As a Client of this establishment, you have the following rights:
   To receive truthful, sufficient, comprehensible, unequivocal information, and prior to
contracting the period of accommodation, as well as the full final price, including taxes, with a
breakdown, where applicable, of the amount of any increases or discounts applied to any
eventual offer, provided that the accommodation contract has been signed between You and
the Hotel directly.
Obtain the documents that accredit the terms of the contract.
Access to our establishment under the terms of the contract.
Receive the services under the agreed conditions.
To have their security and that of their belongings duly guaranteed in our Hotel, as well as
their privacy, and to be informed of any circumstantial inconvenience that may alter their rest
and tranquillity.
To receive information about the facilities or services that involve any risk and the security
measures adopted.
To receive an invoice or receipt for the price paid for the services provided, provided that
the accommodation contract has been signed between you and the hotel directly or is paid
directly by you.
Formulate complaints and claims and obtain information on the procedure for submitting
them and their treatment.
To consult the terms of the privacy policy published on our website.",C,15,17
21," What information must the hotel provide about facilities or services that involve risk? 
","
As a Client of this establishment, you have the following rights:
   To receive truthful, sufficient, comprehensible, unequivocal information, and prior to
contracting the period of accommodation, as well as the full final price, including taxes, with a
breakdown, where applicable, of the amount of any increases or discounts applied to any
eventual offer, provided that the accommodation contract has been signed between You and
the Hotel directly.
Obtain the documents that accredit the terms of the contract.
Access to our establishment under the terms of the contract.
Receive the services under the agreed conditions.
To have their security and that of their belongings duly guaranteed in our Hotel, as well as
their privacy, and to be informed of any circumstantial inconvenience that may alter their rest
and tranquillity.
To receive information about the facilities or services that involve any risk and the security
measures adopted.
To receive an invoice or receipt for the price paid for the services provided, provided that
the accommodation contract has been signed between you and the hotel directly or is paid
directly by you.
Formulate complaints and claims and obtain information on the procedure for submitting
them and their treatment.
To consult the terms of the privacy policy published on our website.",C,15,17
22," What is the hotel required to provide in terms of an invoice or receipt? 
","
As a Client of this establishment, you have the following rights:
   To receive truthful, sufficient, comprehensible, unequivocal information, and prior to
contracting the period of accommodation, as well as the full final price, including taxes, with a
breakdown, where applicable, of the amount of any increases or discounts applied to any
eventual offer, provided that the accommodation contract has been signed between You and
the Hotel directly.
Obtain the documents that accredit the terms of the contract.
Access to our establishment under the terms of the contract.
Receive the services under the agreed conditions.
To have their security and that of their belongings duly guaranteed in our Hotel, as well as
their privacy, and to be informed of any circumstantial inconvenience that may alter their rest
and tranquillity.
To receive information about the facilities or services that involve any risk and the security
measures adopted.
To receive an invoice or receipt for the price paid for the services provided, provided that
the accommodation contract has been signed between you and the hotel directly or is paid
directly by you.
Formulate complaints and claims and obtain information on the procedure for submitting
them and their treatment.
To consult the terms of the privacy policy published on our website.",C,15,17
