;question;answer;label
0;What is the consequence for a customer if they do not cancel their order in a timely manner?;"Orders for accommodation services made in writing or by other means, which have been
confirmed by the hotel and have not been cancelled by the customer in a timely manner, are
mutually binding. The front office manager keeps a record of all received and confirmed
orders.";1
1;What type of document is required for guest registration at the hotel? ;"
The hotel may provide accommodation only for guests who register in the regular
manner. For this purpose, the guest must present a personal document (citizen's
identification card), or a valid passport to the receptionist. Accepting these Rules of the
House is also obligatory for the registration.";1
2;" 
What is the consequence of not accepting the hotel's Rules of the House?";"
The hotel may provide accommodation only for guests who register in the regular
manner. For this purpose, the guest must present a personal document (citizen's
identification card), or a valid passport to the receptionist. Accepting these Rules of the
House is also obligatory for the registration.";1
3;Is the hotel allowed to refuse accommodation to someone who is visibly under the influence of alcohol?;"
Accommodation in the hotel is permitted only to persons who are not carrying infectious
diseases and who are not visibly under the influence of alcohol or drugs.";1
4;"What does ""fundamentally different"" mean in the context of the hotel's accommodation offer?";"
In special cases the hotel may offer guests other accommodation than has been agreed
upon if this does not fundamentally different from the already confirmed order.";1
5;What is the earliest time a guest can check-in to the accommodation?;"
Check-in is possible from 14:00 on the day of arrival. On the day of travel, the room must
be vacated by 11:00 at the latest.";1
6;Is early check-in and late check-out subject to availability and may incur additional costs?;" If our guests require early check-in or late check-out, they
must contact our hotel reception in advance. Our colleagues may provide this service upon
availability and with possible extra costs.";1
7;Is the hotel obligated to provide the same room for the extended stay?;"
In the case that a hotel guest requests an extension of the residence in the hotel,
reception may offer this guest a room other than that in which the guest was originally
staying.";1
8;"What is the maximum duration of a visit to a hotel guest's room? 
";"
Hotel guests may receive visits in their hotel rooms from guests not staying in the hotel.
Visitors must present a personal document at the hotel reception and register in the visitors'
book. These visits can last for only a maximum of 2 hours and must finish until 10:00 pm.";1
9; What type of document must a visitor present at the hotel reception?;"
Hotel guests may receive visits in their hotel rooms from guests not staying in the hotel.
Visitors must present a personal document at the hotel reception and register in the visitors'
book. These visits can last for only a maximum of 2 hours and must finish until 10:00 pm.";1
